Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,xAG,xG+xAG,npxG,npxG+xAG
1140,James Hill,eng ENG,DF,Bournemouth,eng Premier League,21,2002,5,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1141,Piero Hincapié,ec ECU,DF,Leverkusen,de Bundesliga,21,2002,26,16,1484,16.5,1,2,3,1,0,0,2,0,1.9,1.9,0.5,2.5,34,102,50,0.06,0.12,0.18,0.06,0.18,0.12,0.03,0.15,0.12,0.15
1142,Jack Hinshelwood,eng ENG,DF,Brighton,eng Premier League,18,2005,12,8,869,9.7,3,0,3,3,0,0,1,0,1.9,1.9,0.7,2.5,16,19,38,0.31,0.00,0.31,0.31,0.31,0.19,0.07,0.26,0.19,0.26
1143,Adam Hložek,cz CZE,"MT,AT",Leverkusen,de Bundesliga,21,2002,23,5,459,5.1,2,3,5,2,0,0,1,0,3.1,3.1,0.9,4.0,14,13,33,0.39,0.59,0.98,0.39,0.98,0.60,0.18,0.78,0.60,0.78
1144,Nicolas Höfler,de GER,MT,Freiburg,de Bundesliga,33,1990,28,26,2330,25.9,1,1,2,1,0,0,10,1,0.7,0.7,0.4,1.1,14,94,15,0.04,0.04,0.08,0.04,0.08,0.03,0.02,0.04,0.03,0.04
1145,Jonas Hofmann,de GER,MT,Leverkusen,de Bundesliga,31,1992,32,26,2204,24.5,5,7,12,5,0,0,3,0,5.9,5.9,8.1,14.1,63,119,221,0.20,0.29,0.49,0.20,0.49,0.24,0.33,0.57,0.24,0.57
1146,Philipp Hofmann,de GER,AT,Bochum,de Bundesliga,30,1993,29,18,1571,17.5,4,2,6,4,0,0,1,0,4.8,4.8,1.7,6.5,7,36,86,0.23,0.11,0.34,0.23,0.34,0.27,0.10,0.37,0.27,0.37
1147,Lucas Höler,de GER,"AT,MT",Freiburg,de Bundesliga,29,1994,33,26,2305,25.6,7,2,9,6,1,2,7,0,8.6,7.0,2.1,9.1,24,49,153,0.27,0.08,0.35,0.23,0.31,0.34,0.08,0.42,0.27,0.36
1148,Mason Holgate,eng ENG,DF,Sheffield Utd,eng Premier League,26,1996,10,9,710,7.9,0,0,0,0,0,0,3,1,0.6,0.6,0.4,1.1,0,13,0,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.13,0.08,0.13
1149,Fabian Holland,de GER,"MT,DF",Darmstadt 98,de Bundesliga,33,1990,23,23,1835,20.4,0,2,2,0,0,0,4,1,0.6,0.6,1.5,2.1,11,87,47,0.00,0.10,0.10,0.00,0.10,0.03,0.07,0.10,0.03,0.10
1150,Benedict Hollerbach,de GER,"AT,MT",Union Berlin,de Bundesliga,22,2001,28,15,1282,14.2,5,0,5,5,0,0,2,0,3.4,3.4,1.3,4.7,49,39,126,0.35,0.00,0.35,0.35,0.35,0.24,0.09,0.33,0.24,0.33
1151,Emil Holm,se SWE,DF,Atalanta,it Serie A,23,2000,22,12,947,10.5,1,1,2,1,0,0,5,0,2.7,2.7,0.8,3.6,28,27,80,0.10,0.10,0.19,0.10,0.19,0.26,0.08,0.34,0.26,0.34
1152,Gerrit Holtmann,ph PHI,"MT,AT",Darmstadt 98,de Bundesliga,28,1995,10,2,392,4.4,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,13,18,20,0.00,0.00,0.00,0.00,0.00,0.14,0.07,0.21,0.14,0.21
1153,Martin Hongla,cm CMR,MT,Hellas Verona,it Serie A,25,1998,15,12,1084,12.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,57,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
1154,Martin Hongla,cm CMR,"MT,DF",Granada,es La Liga,25,1998,13,6,562,6.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,16,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1155,Franck Honorat,fr FRA,"DF,AT",Gladbach,de Bundesliga,26,1996,32,28,2345,26.1,3,9,12,3,0,0,1,0,1.6,1.6,9.3,10.8,97,93,242,0.12,0.35,0.46,0.12,0.46,0.06,0.36,0.42,0.06,0.42
1156,Mathias Honsak,at AUT,"AT,MT",Darmstadt 98,de Bundesliga,26,1996,23,10,1021,11.3,1,1,2,1,0,0,1,0,1.8,1.8,0.7,2.5,22,19,62,0.09,0.09,0.18,0.09,0.18,0.16,0.06,0.22,0.16,0.22
1157,Sydney van Hooijdonk,nl NED,AT,Bologna,it Serie A,23,2000,9,2,212,2.4,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,2,9,0.00,0.00,0.00,0.00,0.00,0.26,0.05,0.31,0.26,0.31
1158,Fraser Hornby,sct SCO,"AT,MT",Darmstadt 98,de Bundesliga,23,1999,7,1,217,2.4,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,7,2,7,0.00,0.00,0.00,0.00,0.00,0.27,0.14,0.41,0.27,0.41
1159,Lukáš Hrádecký,fi FIN,GB,Leverkusen,de Bundesliga,33,1989,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1160,Xabier Huarte Armendáriz,es ESP,MT,Osasuna,es La Liga,22,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1161,Timo Hübers,de GER,DF,Köln,de Bundesliga,27,1996,31,31,2778,30.9,0,0,0,0,0,0,6,0,1.8,1.8,0.5,2.3,19,104,3,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
1162,Callum Hudson-Odoi,eng ENG,"AT,MT",Nott'ham Forest,eng Premier League,22,2000,29,20,1854,20.6,8,1,9,8,0,0,0,0,2.7,2.7,2.8,5.5,111,58,173,0.39,0.05,0.44,0.39,0.44,0.13,0.14,0.27,0.13,0.27
1163,Will Hughes,eng ENG,MT,Crystal Palace,eng Premier League,28,1995,30,23,1891,21.0,0,1,1,0,0,0,6,0,0.3,0.3,1.1,1.5,14,76,17,0.00,0.05,0.05,0.00,0.05,0.02,0.05,0.07,0.02,0.07
1164,Dean Huijsen,es ESP,DF,Roma,it Serie A,18,2005,13,4,509,5.7,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,4,18,15,0.35,0.00,0.35,0.35,0.35,0.07,0.01,0.08,0.07,0.08
1165,Dean Huijsen,es ESP,DF,Juventus,it Serie A,18,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1166,Mats Hummels,de GER,DF,Dortmund,de Bundesliga,34,1988,25,20,1581,17.6,3,0,3,3,0,0,4,1,3.2,3.2,0.9,4.1,11,82,1,0.17,0.00,0.17,0.17,0.17,0.18,0.05,0.23,0.18,0.23
1167,Denis Huseinbasic,ba BIH,MT,Köln,de Bundesliga,22,2001,26,18,1627,18.1,0,3,3,0,0,0,5,0,0.3,0.3,0.7,1.0,35,93,29,0.00,0.17,0.17,0.00,0.17,0.02,0.04,0.06,0.02,0.06
1168,Elseid Hysaj,al ALB,DF,Lazio,it Serie A,29,1994,22,11,1199,13.3,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,27,51,41,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
1169,Pierre Højbjerg,dk DEN,MT,Tottenham,eng Premier League,27,1995,36,8,1311,14.6,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,17,134,29,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13
1170,Rasmus Højlund,dk DEN,AT,Manchester Utd,eng Premier League,20,2003,30,25,2158,24.0,10,2,12,10,0,0,2,0,7.6,7.6,1.6,9.2,35,33,111,0.42,0.08,0.50,0.42,0.50,0.32,0.07,0.38,0.32,0.38
1171,Iago,br BRA,DF,Augsburg,de Bundesliga,26,1997,23,18,1622,18.0,1,1,2,1,0,0,4,0,1.4,1.4,1.6,3.0,24,54,51,0.06,0.06,0.11,0.06,0.11,0.08,0.09,0.16,0.08,0.16
1172,Pablo Ibáñez,es ESP,MT,Osasuna,es La Liga,24,1998,33,12,1152,12.8,1,2,3,1,0,0,5,0,2.3,2.3,1.2,3.5,26,67,54,0.08,0.16,0.23,0.08,0.23,0.18,0.09,0.27,0.18,0.27
1173,Arijon Ibrahimović,de GER,"AT,DF",Frosinone,it Serie A,17,2005,16,5,474,5.3,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,10,22,54,0.19,0.19,0.38,0.19,0.38,0.15,0.13,0.28,0.15,0.28
1174,Iglesias,es ESP,"DF,AT",Getafe,es La Liga,25,1998,23,16,1412,15.7,0,2,2,0,0,0,4,0,0.6,0.6,0.7,1.3,16,43,48,0.00,0.13,0.13,0.00,0.13,0.04,0.04,0.08,0.04,0.08
1175,Borja Iglesias,es ESP,AT,Betis,es La Liga,30,1993,11,4,408,4.5,0,1,1,0,0,0,2,0,0.6,0.6,0.9,1.5,5,12,32,0.00,0.22,0.22,0.00,0.22,0.13,0.21,0.34,0.13,0.34
1176,Borja Iglesias,es ESP,AT,Leverkusen,de Bundesliga,30,1993,7,2,256,2.8,0,0,0,0,0,0,0,0,1.4,1.4,0.3,1.6,3,5,19,0.00,0.00,0.00,0.00,0.00,0.48,0.10,0.58,0.48,0.58
1177,Igor,br BRA,DF,Brighton,eng Premier League,25,1998,24,17,1637,18.2,0,0,0,0,0,0,4,0,0.3,0.3,0.7,1.0,30,107,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05
1178,Jonathan Ikone,fr FRA,AT,Fiorentina,it Serie A,25,1998,28,18,1682,18.7,3,1,4,3,0,0,5,0,4.6,4.6,2.0,6.6,51,58,154,0.16,0.05,0.21,0.16,0.21,0.25,0.10,0.35,0.25,0.35
1179,Chukwubuikem Ikwuemesi,ng NGA,AT,Salernitana,it Serie A,21,2001,25,11,1061,11.8,1,1,2,1,0,0,2,0,2.4,2.4,0.7,3.1,11,10,70,0.08,0.08,0.17,0.08,0.17,0.21,0.06,0.26,0.21,0.26
1180,Andrej Ilic,rs SRB,AT,Lille,fr Ligue 1,23,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1181,Ivan Ilić,rs SRB,MT,Torino,it Serie A,22,2001,31,25,2098,23.3,3,2,5,3,0,0,3,0,2.1,2.1,5.0,7.1,49,138,52,0.13,0.09,0.21,0.13,0.21,0.09,0.21,0.30,0.09,0.30
1182,Samuel Iling-Junior,eng ENG,"DF,MT",Juventus,it Serie A,19,2003,24,4,810,9.0,1,2,3,1,0,0,1,0,0.7,0.7,1.3,2.0,29,25,64,0.11,0.22,0.33,0.11,0.33,0.08,0.14,0.23,0.08,0.23
1183,Imanol,es ESP,DF,Athletic Club,es La Liga,23,2000,9,5,525,5.8,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,13,21,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04
1184,Joel Imasuen,us USA,AT,Werder Bremen,de Bundesliga,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1185,Ciro Immobile,it ITA,AT,Lazio,it Serie A,33,1990,31,21,1652,18.4,7,1,8,3,4,4,8,0,9.7,6.6,2.1,8.6,19,39,123,0.38,0.05,0.44,0.16,0.22,0.53,0.11,0.64,0.36,0.47
1186,Gino Infantino,ar ARG,MT,Fiorentina,it Serie A,20,2003,6,0,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,7,4,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
1187,Danny Ings,eng ENG,AT,West Ham,eng Premier League,31,1992,20,3,404,4.5,1,0,1,1,0,0,1,0,1.3,1.3,0.3,1.5,7,8,29,0.22,0.00,0.22,0.22,0.22,0.28,0.06,0.34,0.28,0.34
1188,Bonke Innocent,ng NGA,MT,Lorient,fr Ligue 1,27,1996,4,3,210,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,13,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05
1189,Tim Iroegbunam,eng ENG,MT,Aston Villa,eng Premier League,20,2003,9,1,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1190,Alexander Isak,se SWE,AT,Newcastle Utd,eng Premier League,23,1999,30,27,2255,25.1,21,2,23,16,5,6,1,0,20.3,15.6,3.7,19.3,68,71,129,0.84,0.08,0.92,0.64,0.72,0.81,0.15,0.96,0.62,0.77
1191,Gustav Isaksen,dk DEN,AT,Lazio,it Serie A,22,2001,28,12,1074,11.9,3,1,4,3,0,0,3,0,1.6,1.6,2.6,4.2,36,21,95,0.25,0.08,0.34,0.25,0.34,0.13,0.22,0.35,0.13,0.35
1192,Isco,es ESP,MT,Betis,es La Liga,31,1992,29,28,2326,25.8,8,5,13,6,2,2,10,0,8.3,6.7,6.4,13.1,100,216,145,0.31,0.19,0.50,0.23,0.43,0.32,0.25,0.57,0.26,0.51
1193,Thomas Isherwood,se SWE,DF,Darmstadt 98,de Bundesliga,25,1998,12,8,636,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1194,Ismaily,br BRA,DF,Lille,fr Ligue 1,33,1990,30,28,2465,27.4,1,1,2,1,0,0,1,0,0.3,0.3,1.2,1.4,74,114,110,0.04,0.04,0.07,0.04,0.07,0.01,0.04,0.05,0.01,0.05
1195,Ardian Ismajli,al ALB,DF,Empoli,it Serie A,26,1996,26,23,2045,22.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,9,49,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
1196,Yanis Issoufou,fr FRA,MT,Montpellier,fr Ligue 1,16,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1197,Ko Itakura,jp JPN,"DF,MT",Gladbach,de Bundesliga,26,1997,20,18,1596,17.7,3,0,3,3,0,0,9,0,1.3,1.3,0.2,1.5,14,36,7,0.17,0.00,0.17,0.17,0.17,0.08,0.01,0.09,0.08,0.09
1198,Hiroki Ito,jp JPN,DF,Stuttgart,de Bundesliga,24,1999,26,25,2228,24.8,0,2,2,0,0,0,1,0,0.9,0.9,2.0,2.9,29,121,32,0.00,0.08,0.08,0.00,0.08,0.04,0.08,0.12,0.04,0.12
1199,Junya Ito,jp JPN,"AT,MT",Reims,fr Ligue 1,30,1993,31,31,2714,30.2,3,7,10,3,0,0,2,0,4.5,4.5,11.5,16.0,123,139,287,0.10,0.23,0.33,0.10,0.33,0.15,0.38,0.53,0.15,0.53
1200,Diego Iturralde,es ESP,DF,Sevilla,es La Liga,20,2003,1,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1201,Alex Iwobi,ng NGA,MT,Everton,eng Premier League,27,1996,2,2,140,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,4,8,0.00,0.00,0.00,0.00,0.00,0.21,0.14,0.35,0.21,0.35
1202,Alex Iwobi,ng NGA,"AT,MT",Fulham,eng Premier League,27,1996,30,25,2192,24.4,5,2,7,5,0,0,2,0,5.3,5.3,4.7,10.0,109,147,175,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41
1203,Armando Izzo,it ITA,DF,Monza,it Serie A,31,1992,23,20,1650,18.3,0,0,0,0,0,0,9,0,0.7,0.7,0.5,1.1,15,59,7,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.06,0.04,0.06
1204,Nicolas Jackson,sn SEN,AT,Chelsea,eng Premier League,22,2001,35,31,2799,31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70,67,200,0.45,0.16,0.61,0.45,0.61,0.60,0.14,0.74,0.60,0.74
1205,Jérémy Jacquet,fr FRA,MT,Rennes,fr Ligue 1,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1206,Jérémy Jacquet,fr FRA,DF,Clermont Foot,fr Ligue 1,18,2005,6,2,253,2.8,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,5,15,4,0.00,0.36,0.36,0.00,0.36,0.08,0.12,0.19,0.08,0.19
1207,Lee Jae-sung,kr KOR,"MT,AT",Mainz 05,de Bundesliga,30,1992,29,24,2113,23.5,6,3,9,6,0,0,6,0,4.9,4.9,3.4,8.3,25,82,121,0.26,0.13,0.38,0.26,0.38,0.21,0.14,0.35,0.21,0.35
1208,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,25,1998,6,2,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
1209,Filip Jagiełło,pl POL,MT,Genoa,it Serie A,25,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1210,Kristijan Jakić,hr CRO,MT,Augsburg,de Bundesliga,26,1997,14,13,1051,11.7,2,1,3,2,0,0,4,0,0.8,0.8,0.3,1.0,11,56,10,0.17,0.09,0.26,0.17,0.26,0.07,0.02,0.09,0.07,0.09
1211,Kristijan Jakić,hr CRO,"MT,AT",Eint Frankfurt,de Bundesliga,26,1997,4,1,200,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,11,9,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
1212,Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,23,1999,22,16,1466,16.3,1,2,3,1,0,0,0,0,1.3,1.3,1.8,3.1,44,56,133,0.06,0.12,0.18,0.06,0.18,0.08,0.11,0.19,0.08,0.19
1213,Ablie Jallow,gm GAM,"MT,AT",Metz,fr Ligue 1,24,1998,17,10,918,10.2,3,2,5,2,1,1,1,0,2.0,1.2,1.0,2.2,29,42,53,0.29,0.20,0.49,0.20,0.39,0.19,0.10,0.29,0.12,0.22
1214,Reece James,eng ENG,DF,Chelsea,eng Premier League,23,1999,10,5,419,4.7,0,2,2,0,0,0,2,2,0.3,0.3,1.7,2.1,19,21,35,0.00,0.43,0.43,0.00,0.43,0.07,0.37,0.44,0.07,0.44
1215,Vitaly Janelt,de GER,"MT,DF",Brentford,eng Premier League,25,1998,38,37,3054,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25,123,81,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19
1216,Jakub Jankto,cz CZE,"MT,AT",Cagliari,it Serie A,27,1996,18,13,872,9.7,1,2,3,1,0,0,0,0,1.5,1.5,0.5,1.9,12,26,48,0.10,0.21,0.31,0.10,0.31,0.16,0.05,0.21,0.15,0.20
1217,Tony Jantschke,de GER,"DF,MT",Gladbach,de Bundesliga,33,1990,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1218,Adnan Januzaj,be BEL,"AT,MT",Sevilla,es La Liga,28,1995,8,0,193,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,9,17,0.00,0.00,0.00,0.00,0.00,0.28,0.02,0.30,0.28,0.30
1219,Nuha Jatta,gm GAM,AT,RB Leipzig,de Bundesliga,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220,Mikel Jauregizar,es ESP,MT,Athletic Club,es La Liga,19,2003,7,1,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,5,3,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
1221,Luis Javier Suárez,co COL,AT,Almería,es La Liga,25,1997,15,10,917,10.2,6,0,6,5,1,1,3,0,6.5,5.7,0.6,6.3,30,15,53,0.59,0.00,0.59,0.49,0.49,0.64,0.06,0.70,0.56,0.62
1222,Danley Jean-Jacques,ht HAI,MT,Metz,fr Ligue 1,23,2000,33,30,2682,29.8,0,0,0,0,0,0,5,0,2.9,2.9,0.6,3.5,35,84,53,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12
1223,Salim El Jebari,ma MAR,MT,Atlético Madrid,es La Liga,19,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1224,Daniel Jebbison,eng ENG,AT,Sheffield Utd,eng Premier League,19,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1225,Jeffinho,br BRA,"AT,MT",Lyon,fr Ligue 1,23,1999,10,3,308,3.4,1,1,2,1,0,0,0,0,1.0,1.0,0.6,1.6,15,14,36,0.29,0.29,0.58,0.29,0.58,0.30,0.18,0.48,0.30,0.48
1226,Fredrik Jensen,fi FIN,"MT,AT",Augsburg,de Bundesliga,25,1997,22,18,1338,14.9,2,4,6,2,0,0,1,0,0.9,0.9,4.3,5.2,22,46,90,0.13,0.27,0.40,0.13,0.40,0.06,0.29,0.35,0.06,0.35
1227,Mathias Jensen,dk DEN,MT,Brentford,eng Premier League,27,1996,32,27,2204,24.5,3,3,6,3,0,0,5,0,0.7,0.7,4.0,4.7,19,123,66,0.12,0.12,0.25,0.12,0.25,0.03,0.16,0.19,0.03,0.19
1228,Moritz Jenz,de GER,DF,Wolfsburg,de Bundesliga,24,1999,22,21,1742,19.4,0,1,1,0,0,0,7,1,0.3,0.3,0.3,0.6,2,47,4,0.00,0.05,0.05,0.00,0.05,0.02,0.01,0.03,0.02,0.03
1229,Gabriel Jesus,br BRA,AT,Arsenal,eng Premier League,26,1997,27,17,1478,16.4,4,5,9,4,0,0,6,0,6.3,6.3,3.8,10.1,38,42,155,0.24,0.30,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62
1230,Juan Jesus,br BRA,DF,Napoli,it Serie A,32,1991,24,23,2116,23.5,1,0,1,1,0,0,7,0,1.3,1.3,0.3,1.6,6,82,2,0.04,0.00,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07
1231,Alejandro Jiménez,es ESP,DF,Milan,it Serie A,18,2005,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
1232,Raúl Jiménez,mx MEX,AT,Fulham,eng Premier League,32,1991,24,18,1395,15.5,7,0,7,7,0,0,3,1,5.2,5.2,1.5,6.6,11,24,87,0.45,0.00,0.45,0.45,0.45,0.33,0.10,0.43,0.33,0.43
1233,João Pedro,br BRA,"AT,MT",Brighton,eng Premier League,21,2001,31,19,2045,22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83,92,205,0.40,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51
1234,Joelinton,br BRA,"MT,AT",Newcastle Utd,eng Premier League,26,1996,20,15,1279,14.2,2,1,3,2,0,0,6,0,3.1,3.1,2.8,5.9,29,56,60,0.14,0.07,0.21,0.14,0.21,0.22,0.20,0.41,0.22,0.41
1235,Ben Johnson,eng ENG,"DF,AT",West Ham,eng Premier League,23,2000,14,4,544,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,17,22,33,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1236,Brennan Johnson,wls WAL,AT,Tottenham,eng Premier League,22,2001,32,23,2085,23.2,5,10,15,5,0,0,3,0,10.3,10.3,8.1,18.3,97,72,293,0.22,0.43,0.65,0.22,0.65,0.44,0.35,0.79,0.44,0.79
1237,Brennan Johnson,wls WAL,"AT,MT",Nott'ham Forest,eng Premier League,22,2001,3,3,237,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,1,14,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.21,0.12,0.21
1238,Joseph Johnson,eng ENG,DF,Luton Town,eng Premier League,17,2006,2,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1239,Sam Johnstone,eng ENG,GB,Crystal Palace,eng Premier League,30,1993,20,20,1796,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1240,Curtis Jones,eng ENG,MT,Liverpool,eng Premier League,22,2001,23,14,1167,13.0,1,1,2,1,0,0,3,1,2.6,2.6,0.7,3.3,31,74,88,0.08,0.08,0.15,0.08,0.15,0.20,0.05,0.25,0.20,0.25
1241,Frenkie de Jong,nl NED,MT,Barcelona,es La Liga,26,1997,20,20,1634,18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69,168,38,0.11,0.00,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16
1242,Joan Jordán,es ESP,MT,Sevilla,es La Liga,29,1994,8,4,380,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,32,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
1243,Jordi,es ESP,"MT,DF",Getafe,es La Liga,22,2001,13,5,573,6.4,0,0,0,0,0,0,1,0,1.3,1.3,0.6,1.8,6,14,28,0.00,0.00,0.00,0.00,0.00,0.20,0.09,0.28,0.20,0.28
1244,Jeremy Jorge,es ESP,AT,Getafe,es La Liga,20,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1245,Kaio Jorge,br BRA,AT,Frosinone,it Serie A,21,2002,20,8,812,9.0,3,0,3,2,1,2,2,0,5.4,3.8,0.3,4.2,6,11,46,0.33,0.00,0.33,0.22,0.22,0.60,0.03,0.64,0.43,0.46
1246,Jorginho,it ITA,MT,Arsenal,eng Premier League,31,1991,24,10,921,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,8,101,8,0.00,0.20,0.20,0.00,0.20,0.01,0.13,0.14,0.01,0.14
